S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
152,Government actions in regulating its spending and taxation to achieve macroeconomic objectives is called ...... Policy.,Monetary,Fiscal,Income,Physical,Exchange rate,B,Taxation,,,,ADVANCE
153,Which of the following is NOT a source of public debt?,Multilateral creditors,Treasury bills,Government development stocks,Treasury certificates,Taxation,E,Public finance,,,,ADVANCE
154,Which of the following is NOT a case in favour of protectionism?,To protect infant industries,To expand domestic employment,To promote dumping,To correct balance of payments deficits,To enhance national security,C,International trade,,,,ADVANCE
155,The component account of the balance of payments statements in which direct investment and portfolio investiment are recorded is called ..... Account.,Official Reserve,Current,Capital,Merchandise,Service,C,International trade,,,,ADVANCE
156,Which of the following may cause balance of payments deficits?,Increasing export earnings,Decreasing import bills,Falling prices of domestic exports,Increased inflow of foreign investment,Overvalued currency,E,International trade,,,,ADVANCE
157,The net export of any nation is defined as,Imports less exports,Exports less imports,Exports less depreciation,Import less depreciation,Gross domestic product less depreciation,B,International trade,,,,ADVANCE
158,"International institutions like the World Bank Group, International Monetary Fund, African Development Bank are referred to as",Paris Club of Creditors,London Club of Creditors,Multilateral Credits,Bilateral Creditors,Creditor International Organization,C,International economic organizations,,,,ADVANCE
159,Which of the following has NOT been identified as a fundamental source of economic growth?,Capital accumulation,Human capital accumulation,Technological progress and innovation,Social and legal institutions,Regional balance and integration,B,Economic development and planning,,,,ADVANCE
160,Long-term development plans traditionally covers ...... years,10 to 20,2 to 5,5 to 8,1 to 10,1 to 3,A,Economic development and planning,,,,ADVANCE
161,The mechanism that allocates scarce resources among alternative uses is described as,Division of labour,Allocative efficiency,The economic system,Entrepreneurial ability,Production Possibilities Curves,C,Basic economic system,,,,ADVANCE
162,If horizontal supply curve illustrates the supply condition of a commodity; it means that supply is,Elastic,Inelastic,Unit elastic,Perfectly elastic,Perfectly inelastic,D,Demand and supply,,,,ADVANCE
163,Which of the following is NOT captable of shifting the demand curve to the right?,An increase in consumer income,A fall in commodity's own price,An increase in the number of consumers,A fall in the price of a complement,A rise in the price of the substitute,B,Demand and supply,,,,ADVANCE
164,"If a price ceiling is set below the equilibrium price, there will likely be no",Excess demand for the commodity,Shortage of the commodity,Excess supply of the commodity,Rationing of the commodity,Enmergence of a black market,C,Demand and supply,,,,ADVANCE
165,The marginal utility curve of a consumer for agood is the same as its,Supply curve,Demand curve,Indifference curve,Average product curve,Average cost curve,B,Theory of consumer behaviour,,,,ADVANCE
166,"At the point where the budget line is tangent to an indifference curve, the consumer",Prefers only one of the two goods,Derives the maximum satisfaction possible,Obtains the Minimum satisfaction from the two goods,Derives zero satsfaction from the two goods,Prefers any other combination of the two goods,B,Theory of consumer behaviour,,,,ADVANCE
167,Additional output produced when a new worker is employed can be described as,Marginal Product,Average Product,Total Product,Cost-minimising Output,Profit-maximising Output,A,Production,,,,ADVANCE
168,The man-made resource which is used in a production process is called,Entrepreneur,Wages,Labour,Capital,Land,D,Production,,,,ADVANCE
169,"Given that the Total Cost (TC) of a firm's output of 10 units is #4,000 and the Variable Cost (VC) is N2,500, what will be the Average Fixed Cost (AFC)?",₦ 400,₦ 250,₦ 200,₦ 180,₦ 150,E,Theory of cost,,,,BEGINNER
170,External economies of scale can be derived from,Location of a firm in an industry,Localisation of an industry,Bulk purchase of raw materials by a firm,Large-sclae production by a firm,Division of labour in a production process,B,Industrialization,,,,ADVANCE
171,ONE of the ways by which government intervenes in the economy is through the establishment of,Sole proprietorship businesses,Partnership businesses,Public limited companies,Private limited companies,Public enterprises,E,Public finance,,,,ADVANCE
172,A situation where a firm is also the industry is known as,Oligopoly,Monopoly,Duopoly,Monopolistic competition,Perfect competition,B,Market structure,,,,ADVANCE
173,Which of the following statements is NOT true of perfect competition?,Buyers and sellers have perfect information,"Buyers are price-takers, sellers are price-makers",Normal profit is made in the long-run,Absnormal profit is achieved in the short-run,Buyers and sellers are free to enter or exist the market,B,Market structure,,,,ADVANCE
174,Which of the following is NOT a problem associated with National Income Measurement?,Double counting,Double coincedence of wants,Determination of exact amount of depreciation,Inadequate statistical data,Illegal activities,B,National income,,,,ADVANCE
175,"If National Income is L$632 billion, personal income taxes is L$44 billion and personal disposable income is L$476 billion, lthen personal income is",L$ 676 billion,L$620 billion,L$588 billion,L$520 billion,L$488 billion,D,National income,,,,ADVANCE
